type,index,proposal,source_case,separate_child_exchange,expected_child_ke
IKE,1,aes256-sha256-prfsha256-modp2048,BASE-001,no,
IKE,2,aes128-sha256-prfsha256-modp2048,IKE-CBC-128,no,
IKE,3,aes192-sha256-prfsha256-modp2048,IKE-CBC-192,no,
IKE,4,aes256-sha384-prfsha256-modp2048,IKE-INTEG-384,no,
IKE,5,aes256-sha512-prfsha256-modp2048,IKE-INTEG-512,no,
IKE,6,aes256-sha256-prfsha384-modp2048,IKE-PRF-384,no,
IKE,7,aes256-sha256-prfsha512-modp2048,IKE-PRF-512,no,
IKE,8,aes256-sha256-prfsha256-modp3072,IKE-DH-MODP3072,no,
IKE,9,aes256-sha256-prfsha256-modp4096,IKE-DH-MODP4096,no,
IKE,10,aes256-sha256-prfsha256-modp6144,IKE-DH-MODP6144,no,
IKE,11,aes256-sha256-prfsha256-modp8192,IKE-DH-MODP8192,no,
IKE,12,aes256-sha256-prfsha256-ecp256,IKE-DH-ECP256,no,
IKE,13,aes256-sha256-prfsha384-ecp384,IKE-DH-ECP384,no,
IKE,14,aes256-sha512-prfsha512-ecp521,IKE-DH-ECP521,no,
IKE,15,aes256-sha256-prfsha256-curve25519,IKE-DH-CURVE25519,no,
IKE,16,aes256-sha512-prfsha512-curve448,IKE-DH-CURVE448,no,
IKE,17,aes128gcm16-prfsha256-modp2048,IKE-GCM-128-16,no,
IKE,18,aes192gcm16-prfsha256-modp2048,IKE-GCM-192-16,no,
IKE,19,aes256gcm8-prfsha256-modp2048,IKE-GCM-256-8,no,
IKE,20,aes256gcm12-prfsha256-modp2048,IKE-GCM-256-12,no,
IKE,21,aes256gcm16-prfsha256-modp2048,IKE-GCM-256-16,no,
IKE,22,chacha20poly1305-prfsha256-curve25519,IKE-CHACHA20,no,
IKE,23,camellia128-sha256-prfsha256-modp2048,IKE-CAMELLIA-128,no,
IKE,24,camellia192-sha256-prfsha256-modp2048,IKE-CAMELLIA-192,no,
IKE,25,camellia256-sha256-prfsha256-modp2048,IKE-CAMELLIA-256,no,
IKE,26,aes256-aesxcbc-prfaesxcbc-modp2048,IKE-AES-XCBC,no,
IKE,27,aes256-aescmac-prfaescmac-modp2048,IKE-AES-CMAC,no,
IKE,28,aes256-sha256-prfsha256-ecp256bp,IKE-DH-ECP256BP,no,
IKE,29,aes256-sha384-prfsha384-ecp384bp,IKE-DH-ECP384BP,no,
IKE,30,aes256-sha512-prfsha512-ecp512bp,IKE-DH-ECP512BP,no,
ESP,1,aes256-sha256,BASE-001,no,
ESP,2,aes128-sha256,ESP-CBC-128,no,
ESP,3,aes192-sha256,ESP-CBC-192,no,
ESP,4,aes256-sha384,ESP-INTEG-384,no,
ESP,5,aes256-sha512,ESP-INTEG-512,no,
ESP,6,aes128gcm16,ESP-GCM-128-16,no,
ESP,7,aes192gcm16,ESP-GCM-192-16,no,
ESP,8,aes256gcm8,ESP-GCM-256-8,no,
ESP,9,aes256gcm12,ESP-GCM-256-12,no,
ESP,10,aes256gcm16,ESP-GCM-256-16,no,
ESP,11,chacha20poly1305,ESP-CHACHA20,no,
ESP,12,aes256-sha256-modp2048,ESP-PFS-MODP2048,yes,MODP_2048
ESP,13,aes256-sha256-ecp256,ESP-PFS-ECP256,yes,ECP_256
ESP,14,aes256-sha256-ecp384,ESP-PFS-ECP384,yes,ECP_384
ESP,15,aes256-sha256-curve25519,ESP-PFS-CURVE25519,yes,CURVE_25519
ESP,16,aes256gcm16-noesn,ESP-NOESN,no,
ESP,17,aes256gcm16-esn,ESP-ESN,no,
ESP,18,camellia128-sha256,ESP-CAMELLIA-128,no,
ESP,19,camellia192-sha256,ESP-CAMELLIA-192,no,
ESP,20,camellia256-sha256,ESP-CAMELLIA-256,no,
